"ID","Vaccine Name","Disease Name","Disease Classification","Virus Name","Nucleic Acid Content","Vaccine Type","Vaccine Status","Manufacturer","Year of Manufacturing","Manufacturing Country","Age","Dosage","Administration Route","Adjuvant","Target Strain","Description","Approving Organisation","Collaborating Organisation","Other Countries","Trade Name","PMID","Clinical Trial ID","Reference Link","Additional Links"
"10011","Zifivax","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Approved","Anhui Zhifei Longcom Biologic Pharmacy Co. Ltd.","2020","China","NA","2 doses 2 to 3 days apart","Intramuscular","NA","SARS-CoV-2 receptor-binding domain from spike protein","NA","China FDA","Institute of MicrobiologyÂ of theÂ ChineseÂ Academy of Sciences","China, Uzbekistan, Indonesia, Pakistan, Ecuador","RBD-Dimer, ZF2001","33816047","NCT04646590","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","https://clinicaltrials.gov/ct2/show/NCT05091411"
"10012","SARS-CoV-2 Vaccine (VeroCell)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Sinopharm, Beijing Institute of Biological Products","2020","China","NA","2 doses 21 days apart","Intramuscular","NA","NA","NA","WHO","NA","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","https://cdn.who.int/media/docs/default-source/immunization/covid-19/16-june-22080-sinopharm-vaccine-explainer-update.pdf?sfvrsn=ad833095_1&download=true"
"10013","Covishield","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Approved","AstraZeneca plc, University of Oxford, Serum Institute of India","2020","England","NA","2 doses 28 days apart","Intramuscular","NA","SARS-CoV-2 Spike gene to the replication defective chimpanzee adenovirus ChAdOx1","NA","US FDA","NA","UK, USA, Japan, South Africa","AZD1222,ChAdOx1 nCoV-19, ChAdOx1-S, COVID-19 Vaccine AstraZeneca, AstraZeneca COVID-19 Vaccine, AZD2816,Vaxzevria","32328406","NA","https://pubmed.ncbi.nlm.nih.gov/32328406/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8637436/"
"10014","Covishield","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Approved","AstraZeneca plc, University of Oxford, Serum Institute of India","2020","England","NA","NA","Intramuscular","NA","NA","mRNA based vaccine","European Inclusive Vaccines Alliance","NA","UK, USA, Brazil, South Africa","AZD1222,ChAdOx1 nCoV-19, ChAdOx1-S, COVID-19 Vaccine AstraZeneca, AstraZeneca COVID-19 Vaccine, AZD2816,Vaxzevria","33324769","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7729279/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8637436/"
"10015","Covishield","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Approved","AstraZeneca plc, University of Oxford, Serum Institute of India","NA","NA","NA","2 doses 4 weeks apart","Intramuscular","NA","NA","NA","NA","NA","Argentina, India, Morocco, Britain, Mexico, El Salvador, Dominican Republic","AZD1222,ChAdOx1 nCoV-19, ChAdOx1-S, COVID-19 Vaccine AstraZeneca, AstraZeneca COVID-19 Vaccine, AZD2816,Vaxzevria","NA","NA","https://vk.ovg.ox.ac.uk/vk/covid-19-vaccines","https://www.who.int/news-room/feature-stories/detail/the-oxford-astrazeneca-covid-19-vaccine-what-you-need-to-know"
"10016","Covishield","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Approved","AstraZeneca plc, University of Oxford, Serum Institute of India","NA","NA","NA","2 doses 28 days apart","Intramuscular","NA","NA","NA","US FDA","NA","NA","AZD1222,ChAdOx1 nCoV-19, ChAdOx1-S, COVID-19 Vaccine AstraZeneca, AstraZeneca COVID-19 Vaccine, AZD2816,Vaxzevria","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10017","Convidecia","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Approved","CanSino Biologics Inc.","2020","China","6 - 59 years","2 doses","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","Viral vector vaccine using a replication-defective form of the human adenovirus Ad5","NMPA","Jiangsu Province Centers for Disease Control and Prevention, Insitute of Biotechnology, Academy of Military Medical Sciences, PLA of China","China, Chile, Hungary, Malaysia, Mexico, Pakistan","Ad5-nCoV","32328406","NCT04916886","https://pubmed.ncbi.nlm.nih.gov/32328406/","https://extranet.who.int/pqweb/vaccines/convidecia"
"10018","JCOVDEN","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Approved","Johnson & Johnson","2021","USA","18 - 65 years","Single dose","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","US FDA, WHO","NA","Netherlands, USA, Argentina, Brazil, Chile, Colombia, Mexico, Peru, Philippines, South Africa, Ukraine, Belgium, Colombia, France, Germany, Philippines, Spain, UK, Europe","Ad26.COV2.S, JNJ-78436735,Ad26COVS1, VAC31518,COVID-19 Vaccine Janssen,Johnson & Johnson COVIDâ€‘19 vaccine","32328406","NCT04927936","https://pubmed.ncbi.nlm.nih.gov/32328406/","https://www.ema.europa.eu/en/documents/product-information/jcovden-previously-covid-19-vaccine-janssen-epar-product-information_en.pdf"
"10019","JCOVDEN","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Approved","Janssen Pharmaceutical","NA","NA","NA","2 doses 56 days apart","Intramuscular","NA","NA","NA","US FDA","NA","NA","Ad26.COV2.S, JNJ-78436735,Ad26COVS1, VAC31518,COVID-19 Vaccine Janssen,Johnson & Johnson COVIDâ€‘19 vaccine","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","https://www.fda.gov/media/153439/download"
"10020","JCOVDEN","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Approved","Janssen Pharmaceutical","2020","Russia","NA","2 doses 21 days apart","Intramuscular","NA","Heterologous formulation consisting of two human adenovirus vectors, Ad26 and Ad5, both carrying the SARS-CoV-2 spike protein","NA","US FDA","Health Ministry of the Russian Federation","NA","Ad26.COV2.S, JNJ-78436735,Ad26COVS1, VAC31518,COVID-19 Vaccine Janssen,Johnson & Johnson COVIDâ€‘19 vaccine","32328406","NA","https://pubmed.ncbi.nlm.nih.gov/32328406/","NA"
"10021","Gam-COVID-Vac","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Approved","Gamaleya Research Institute of Epidemiology and Microbiology","NA","Russia","NA","2 doses 3 weeks apart","Intramuscular","NA","NA","NA","US FDA","Health Ministry of the Russian Federation","Russia, Bolivia, Argentina, Algeria, Serbia, Belarus","Sputnik-V","NA","NA","https://www.precisionvaccinations.com/vaccines/sputnik-v-vaccine","NA"
"10022","Gam-COVID-Vac","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Approved","Gamaleya Research Institute of Epidemiology and Microbiology","NA","Russia","NA","NA","Intramuscular","NA","NA","NA","EMA","NA","NA","Sputnik-V","33324769","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7729279/","NA"
"10023","Gam-COVID-Vac","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Approved","Gamaleya Research Institute of Epidemiology and Microbiology","NA","Russia","NA","2 doses 21 days apart","Intramuscular","NA","rAd26-S, rAd5-S","NA","US FDA","Health Ministry of the Russian Federation","NA","Sputnik-V","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10024","Comirnaty","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Approved","BioNTech SE, Pfizer Inc.","NA","Germany","18 - 85 years","NA","Intramuscular","NA","SARS-CoV-2 spike protein mRNA encapsulated in a lipid nanoparticle","NA","US FDA","NA","USA, Argentina, Brazil, Germany, South Africa, Turkey","BNT162b2, COVID-19 mRNA vaccine, Tozinameran","32328406","NA","https://pubmed.ncbi.nlm.nih.gov/32328406/","https://www.ema.europa.eu/en/documents/product-information/comirnaty-epar-product-information_en.pdf"
"10025","Comirnaty","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Approved","BioNTech SE, Pfizer Inc.","2021","Germany, USA","NA","NA","Intramuscular","NA","NA","mRNA based vaccine","US FDA","NA","NA","BNT162b2, COVID-19 mRNA vaccine","33610448","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7881713/","NA"
"10026","Comirnaty","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Approved","BioNTech SE, Pfizer Inc.","NA","USA","12 years and above","2 doses 3 weeks apart","Intramuscular","NA","Trimerized SARS-CoV-2 receptor-binding domain from spike protein","mRNA based vaccine","US FDA","NA","Argentina, Canada, Chile, Costa Rica, Ecuador, Jordan, Kuwait, Mexico, Panama, Singapore, Bahrain, Saudi Arabia, Switzerland, European Union","BNT162b2, COVID-19 mRNA vaccine, Tozinameran","33826439","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8040490//","https://www.comirnaty.com/"
"10027","Spikevax","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Approved","Moderna Inc.","2020","USA","NA","2 doses","Intramuscular","NA","SARS-CoV-2 spike protein mRNA encapsulated in a lipid nanoparticle","NA","US FDA","NA","NA","mRNA-1273, CX-024414, COVID-19 mRNA Vaccine Moderna, TAK-919, Moderna COVIDâ€‘19 Vaccine, COVIDâ€‘19 Vaccine Moderna, COVID-19 Vaccine Moderna Intramuscular Injection, Elasomeran","32328406","NA","https://pubmed.ncbi.nlm.nih.gov/32328406/","https://www.cdc.gov/coronavirus/2019-ncov/vaccines/different-vaccines/Moderna.html"
"10028","Spikevax","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Approved","Moderna Inc.","NA","NA","NA","2 doses 28 days apart","Intramuscular","NA","NA","NA","US FDA","National Institute of Allergy and Infectious Diseases","NA","mRNA-1273, CX-024414, COVID-19 mRNA Vaccine Moderna, TAK-919, Moderna COVIDâ€‘19 Vaccine, COVIDâ€‘19 Vaccine Moderna, COVID-19 Vaccine Moderna Intramuscular Injection, Elasomeran","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10029","Spikevax","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Approved","Moderna Inc.","NA","NA","NA","2 doses 4 weeks apart","Intramuscular","NA","NA","NA","US FDA","NA","USA, Canada, Israel, European Union","mRNA-1273, CX-024414, COVID-19 mRNA Vaccine Moderna, TAK-919, Moderna COVIDâ€‘19 Vaccine, COVIDâ€‘19 Vaccine Moderna, COVID-19 Vaccine Moderna Intramuscular Injection, Elasomeran","33826439","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8040490/","NA"
"10030","Covovax (Nuvaxovid)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Approved","Novavax Inc.","NA","UK","NA","2 doses","Intramuscular","Matrix-M","Spike protein of SARS-CoV-2 virus","NA","US FDA","NA","USA, Mexico","TAK-019, SARS-CoV-2 rS, NVX-CoV2373","32328406","NA","https://pubmed.ncbi.nlm.nih.gov/32328406/","https://clinicaltrials.gov/ct2/show/NCT05249816"
"10031","Covaxin","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Bharat Biotech International Limited","2021","India","18 years and above","NA","Intramuscular","NA","NA","NA","DCGI, WHO","Indian Council of Medical Research, Iqvia Pty Ltd","NA","NA","NA","NCT04641481","https://clinicaltrials.gov/ct2/show/NCT04641481","https://www.clinicaltrialsarena.com/projects/covaxin-bbv152-for-the-treatment-of-covid-19/"
"10032","Covifenz","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Virus like particle","Approved","Medicago Inc","2021","Canada","18 years and above","2 doses 21 days apart","Intramuscular","AS03","NA","NA","Health Canada","NA","NA","CoVLP","NA","NCT05040789","https://clinicaltrials.gov/ct2/show/NCT05040789","https://www.precisionvaccinations.com/vaccines/covifenz-covlp-covid-19-vaccine"
"10033","EpiVacCorona","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Approved","FBRI State Research Center of Virology and Biotechnology","2020","Russia","18 years and above","2 doses 21 days apart","Intramuscular","Aluminum (aluminium hydroxide)","SARS CoV-2 peptide antigens","NA","Russian Federation","FBRI State Research Center of Virology and Biotechnology","NA","EpiVacCorona-N, Aurora-CoV","33816047","NCT04780035","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","https://www.cnbc.com/2020/10/14/russia-approves-second-covid-19-vaccine-after-preliminary-trials-.html"
"10034","MVC-COV1901","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Approved","Medigen Vaccine Biologics, Dynavax","2021","Taiwan","12 years and above","2 doses 28 days apart","Intramuscular","CpG 1018, aluminium hydroxide","S-2P protein","NA","Taiwan FDA","National Institute of Allergy and Infectious Diseases","Thailand, Taiwan, Paraguay","NA","33816047","NCT05198596","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","https://www.precisionvaccinations.com/vaccines/medigen-covid-19-vaccine"
"10035","Comirnaty","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Approved","BioNTech SE, Pfizer Inc.","2020","Germany","18 - 55 years","2 doses 21 days apart","Intramuscular","NA","Trimerized SARS-CoV-2 receptor-binding domain from spike protein","mRNA based vaccine","US FDA","NA","Argentina, Brazil, Germany, South Africa, Turkey, USA","BNT162b2, COVID-19 mRNA vaccine","33402220","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7785400/","NA"
"10036","Spikevax","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Approved","Moderna Inc.","2020","USA","18 - 55 years","2 doses 28 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","mRNA based vaccine","US FDA","NA","NA","mRNA-1273, CX-024414, COVID-19 mRNA Vaccine Moderna, TAK-919, Moderna COVIDâ€‘19 Vaccine, COVIDâ€‘19 Vaccine Moderna, COVID-19 Vaccine Moderna Intramuscular Injection, Elasomeran","33402220","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7785400/","NA"
"10037","JCOVDEN","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Virus like particle","Approved","Janssen Pharmaceutical","NA","NA","18 years and above","Single dose","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","US FDA","NA","NA","Ad26.COV2.S, JNJ-78436735,Ad26COVS1, VAC31518,COVID-19 Vaccine Janssen,Johnson & Johnson COVIDâ€‘19 vaccine","33402220","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7785400/","NA"
"10038","Gam-COVID-Vac","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Virus like particle","Approved","Gamaleya Research Institute of Epidemiology and Microbiology","2020","Russia","18 - 60 years","NA","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","US FDA","Health Ministry of the Russian Federation","NA","Sputnik-V","33402220","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7785400/","NA"
"10039","Covovax (Nuvaxovid)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Approved","Novavax Inc.","2021","USA","12 years and above","2 doses 21 days apart","Intramuscular","Matrix-M1","Spike protein of SARS-CoV-2 virus","NA","WHO","NA","USA, Mexico, Puerto Rico, UK","NVX-CoV2373 ","33402220","NCT04611802","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7785400/","https://www.drugs.com/history/novavax-covid-19-vaccine.html"
"10040","EpiVacCorona","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Approved","FBRI State Research Center of Virology and Biotechnology","2021","Russia","18 - 60 years","2 doses 21 or 28 days apart","Intramuscular","Aluminum (aluminium hydroxide)","SARS-CoV-2 protein","NA","Russian Federation","FBRI State Research Center of Virology and Biotechnology","Cambodia, Russia, Turkmenistan","EpiVacCorona-N, Aurora-CoV","33402220","NCT04780035","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7785400/","https://clinicaltrials.gov/ct2/show/NCT04780035"
"10041","COVILO (BBIBP-CorV)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","China National Biotec Group Company Limited","2021","China","3 years and above","2 doses 21 days apart","Intramuscular","Aluminum (aluminium hydroxide)","Inactivated SARS-CoV-2 virus","Inactivated SARS-CoV-2 vaccine (Vero cell) is prepared by inoculating African green monkey kidney cells (Vero cell) with the SARS-CoV-2 HB02 strain","WHO, Caribbean Regulatory System Emergency Use Recommendation","Beijing Institute of Biotechnology","China, Bahrain, Egypt, Jordan, UAE, Hungary, Pakistan","NA","33402220","NCT04863638","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7785400/","https://www.carpha.org/Portals/0/Documents/COVID-19%20Vaccine%20Updates/CARPHA%20COVID-19%20Vaccine%20Update%20047%20December%206%202021.pdf"
"10042","PiCoVacc","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Approved","Sinovac Biotech Ltd.","2021","Brazil","18 - 59 years","2 doses 28 days apart","Intramuscular","NA","Inactivated SARS-CoV-2 virus","NA","WHO, Caribbean Regulatory System Emergency Use Recommendation, Africa Regulatory Taskforce Endorsed","NA","NA","CoronaVac","33402220","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7785400/","https://www.who.int/news/item/01-06-2021-who-validates-sinovac-covid-19-vaccine-for-emergency-use-and-issues-interim-policy-recommendations"
"10043","Comirnaty","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Approved","BioNTech SE, Pfizer Inc.","2021","Germany, USA","NA","NA","Intramuscular","NA","NA","mRNA based vaccine","US FDA","NA","NA","BNT162b2, COVID-19 mRNA vaccine","NA","NA","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","https://www.who.int/publications/m/item/comirnaty-covid-19-mrna-vaccine#:~:text=Pfizer%2DBioNTech%20COVID%2D19%20Vaccine%2C%20COMIRNATY%C2%AE%20(Tozinameran),-COVID%2D19%20Vaccine&text=This%20vaccine%20resource%20provides%20key,disease%20(COVID%2D19)."
"10044","Covishield","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Approved","AstraZeneca plc, University of Oxford, Serum Institute of India","2020","UK","NA","NA","Intramuscular","NA","NA","Recombinant ChAdOx1 adenoviral vector encoding the Spike protein antigen of the SARS-CoV-2","EMA","NA","NA","AZD1222,ChAdOx1 nCoV-19, ChAdOx1-S, COVID-19 Vaccine AstraZeneca, AstraZeneca COVID-19 Vaccine, AZD2816,Vaxzevria","NA","NA","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","NA"
"10045","Covishield","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Approved","AstraZeneca plc, University of Oxford, Serum Institute of India","NA","India","NA","NA","Intramuscular","NA","NA","Recombinant ChAdOx1 adenoviral vector encoding the Spike protein antigen of the SARS-CoV-2","DCGI","NA","NA","AZD1222,ChAdOx1 nCoV-19, ChAdOx1-S, COVID-19 Vaccine AstraZeneca, AstraZeneca COVID-19 Vaccine, AZD2816,Vaxzevria","NA","NA","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","NA"
"10046","JCOVDEN","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Approved","Janssen Vaccines & Prevention B.V.","NA","Leiden, Netherlands","NA","NA","Intramuscular","NA","NA","Recombinant replication-incompetent adenovirus type 26 (Ad26) vectored vaccine encoding Spike protein antigen of the SARS-CoV-2","EMA","NA","NA","Ad26.COV2.S, JNJ-78436735,Ad26COVS1, VAC31518,COVID-19 Vaccine Janssen,Johnson & Johnson COVIDâ€‘19 vaccine","NA","NA","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","NA"
"10047","Spikevax","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Approved","Moderna Inc.","2020","USA","NA","NA","Intramuscular","NA","NA","mRNA based vaccine","EMA","NA","NA","mRNA-1273, CX-024414, COVID-19 mRNA Vaccine Moderna, TAK-919, Moderna COVIDâ€‘19 Vaccine, COVIDâ€‘19 Vaccine Moderna, COVID-19 Vaccine Moderna Intramuscular Injection, Elasomeran","NA","NA","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","NA"
"10048","COVILO (BBIBP-CorV)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated ","Approved","Sinopharm, Beijing Institute of Biological Products","NA","China","NA","NA","Intramuscular","NA","Inactivated SARS-CoV-2 virus","Produced in vero cells","NMPA, WHO","NA","NA","Inactivated SARS-CoV-2 vaccine (Vero cell)","NA","NA","https://cdn.who.int/media/docs/default-source/immunization/covid-19/16-june-22080-sinopharm-vaccine-explainer-update.pdf?sfvrsn=ad833095_1&download=true","https://cdn.who.int/media/docs/default-source/immunization/covid-19/16-june-22080-sinopharm-vaccine-explainer-update.pdf?sfvrsn=ad833095_1&download=true"
